id,saleprice
2658,156295.44626765046
2718,204015.4534789496
2414,196789.01353362342
1989,130160.09328041715
625,184056.27205609344
333,89424.06019908539
1327,112279.62430363125
858,143193.59345445293
95,205064.75637616892
1568,166927.4731675745
2482,170887.32081904868
1364,146047.63503469084
2584,163579.1809529243
818,274512.88941852003
2673,172787.173389283
2089,139620.7312836214
1297,156218.8310840216
790,114847.27967520664
2616,200553.90362407616
720,205102.80941703217
222,133808.97638528026
557,120303.12587103108
1148,200471.4707532192
2766,146336.31759782042
534,209295.6458087375
1452,110654.96201381949
630,129849.90348550119
2648,134991.20131196408
125,154829.98180080904
1904,19147.494545836933
1670,96096.81399762211
756,96099.96731820772
717,262173.10933344206
1032,152149.6030200948
852,227400.593060371
1731,195095.6475657865
2639,123887.63227478182
2071,82172.41105424962
1267,116721.60309132584
1851,208337.07623902382
567,167535.43760402198
2439,220821.44994831225
1898,164023.79197179014
647,148768.35789719666
2256,222979.42529130774
979,103936.91674680053
1444,222424.19937487599
2485,111863.76167277317
157,119954.9904777368
88,116087.73434763332
2003,106577.7211315271
186,222191.62808272662
1425,273011.0996449033
2695,130046.55889043817
738,116447.32505860808
395,162620.8811541046
1353,172102.41052522766
1878,144637.28963383334
390,179577.13527261233
1456,234130.31218334776
1103,306522.94985416764
1387,121698.8625699114
2070,153298.40150368633
1199,193602.83646908845
2479,177845.48797176057
501,314506.15502337855
2362,74354.05187954823
1718,201853.38118809392
2188,52068.6777567307
1483,160433.2987538129
2557,79767.92231703992
437,299522.8788514603
2224,202505.18150756136
1628,188277.1595546808
397,131393.38446534122
587,217239.3407030257
971,175304.94875938562
2611,161728.82343804138
1887,90833.42344913259
2399,323336.1340853749
2148,220467.97844867804
304,130939.47273337399
1997,129647.22199411225
2817,114307.95316090132
1431,183835.61215017433
427,323225.87691332586
263,121931.24317157152
598,186542.86791873956
2895,267126.3255461282
687,175455.32810422336
1822,128217.92307035718
2191,104202.95867594075
179,146677.9430115407
1009,209260.759979713
2010,118996.47731982218
1991,148642.7584445658
1411,145544.07931827172
1721,251651.93413740396
1144,190671.29028875567
593,225073.5803246454
575,268700.46350944485
1249,196776.6886876861
1604,119562.48329267092
1064,394335.9151642602
1923,148241.95144705568
1988,94636.70305837318
2325,173891.77712637093
114,193353.9416592978
2700,209318.62110547628
217,140596.44760679035
343,198397.00882483087
386,243143.16631277418
2005,110979.30435469747
2908,135838.72213270562
1814,214032.40764354658
2446,442532.62378375675
208,151511.32012494188
1679,138904.49941236456
822,310477.33979648957
6,185958.82144862786
1781,365212.3482035287
2397,297898.0224584285
2340,285808.5883330705
1618,171921.7511951069
2843,133803.91451358097
1061,329568.111414321
2786,109154.55650654761
1935,128175.67576707038
1341,115798.21535493177
521,288599.5438658062
2136,132873.4764587523
996,186970.8482452568
227,140525.5901556597
135,168244.31381940423
1167,185432.8853203219
294,232095.51985610626
1776,213308.01169269416
540,200842.39829561417
1717,201853.38118809392
2303,110316.82875183877
116,190229.0082782111
127,126763.18016681168
1371,145349.6048044311
1014,175649.31108629494
1507,102589.65032007801
702,171346.56855184608
750,162457.07771997992
261,156096.08454716927
1559,57836.87382503878
577,229705.92097975384
2812,213318.42389043118
2080,154131.487379462
1368,133368.7984033262
2376,109752.8383077532
659,105171.86280798493
1235,122152.64379566233
332,74142.38765652105
1917,139628.83104006806
2094,240848.32306533726
1460,283254.07459560875
1471,206377.2262334181
1509,123203.20983769302
1922,131727.5692600659
433,396033.2205363463
460,280471.31425535283
1116,278637.08710312797
1137,180570.0697764922
53,195893.8392649861
2354,241741.15747562237
1475,217262.14432561048
1761,432436.9239751473
842,143183.29462213302
2739,166590.60419032676
2509,178868.24856860423
1007,212636.88529722812
2610,182428.9243885479
1952,74205.37226325646
2719,207156.42006112798
2921,89882.16221064329
1966,129964.6375653157
292,113268.8567359692
1204,220950.5041458134
1829,240265.86957605276
2419,200847.53154097754
391,176381.80459103384
798,123552.50221359404
481,199581.122070509
193,210624.43875715998
555,120959.27658681734
899,61823.700353181455
2357,194242.06509527517
328,114409.0229320568
1356,125179.1617829816
1154,103447.45636105584
1730,181192.02056667302
2249,146999.54465901572
1119,273537.9402735031
2856,116034.01064085728
1394,140578.4326174003
2587,125480.46029468253
61,302542.11283286265
2661,218515.8331450408
2711,127896.24895111006
1147,189561.1473423012
757,148295.53781854268
2623,82952.22630277509
2378,162121.5130464153
1413,159068.7178327397
1722,238850.17863775184
1112,221057.87374911946
1623,190241.80960650975
1201,196053.69074689527
1513,111302.3762405077
957,237225.54254243663
1171,269142.5866217804
1145,204810.1390040808
2726,230945.05807508435
703,166355.6269195506
760,57552.12596383761
1964,131601.43018670497
2512,201557.4874402259
159,164281.7456241739
1281,195288.58512510313
468,177458.81514782482
290,120892.77370076207
665,98796.02027869923
1463,270418.02123540826
1792,235656.42193236435
923,129996.5373751421
500,299204.5236951336
1408,146301.77956942213
331,56226.204479162116
170,145828.54041527724
2192,72657.81918393145
2571,284503.5462827855
2314,169782.24689989677
2647,87313.29236736335
422,364470.9451865726
2457,311035.33256471367
1838,208679.2789199336
2805,252679.33045192738
1645,171099.8344005996
1711,297307.2214137907
2825,247081.2898061741
322,316256.6960477235
2103,281864.8106265189
342,125411.2119267236
600,94180.38580798311
488,196488.4759654652
1725,303788.0216509872
2246,266918.364686267
2847,167570.70957989176
806,246475.9728284499
530,232107.09630800528
963,185804.5605890716
2678,60959.175471743336
171,83074.03641267167
2401,373895.1952205454
805,219011.01568707684
2259,269022.82123855944
1748,189400.73990395502
1361,144276.02428640332
1677,152827.8923650498
1406,154330.93178512994
2322,226842.1689046761
688,196645.72039879486
143,130653.02320682863
804,211953.71735797427
1214,180969.03007377102
2828,172523.27031308413
1999,205607.5953201705
2467,205924.09936391492
2665,181394.70458478434
1538,343841.158909488
398,102402.19683113229
2822,130111.78197148396
2157,160809.98730400554
1856,164581.8340746113
1269,108046.24006608315
2570,113513.68848479702
2320,252370.1656127842
1517,131693.1641682922
2304,114298.73031376046
1312,102257.08086802531
2012,138426.99299077922
506,213383.58085916843
2865,186029.94723557867
2367,140318.9231446935
554,114340.94175756373
238,127309.29573705373
1954,105705.94471325888
2488,173665.162312679
2291,93499.34495256236
1969,97835.17211675504
2725,162483.16574491328
1482,160433.2987538129
2763,228948.16166210338
503,242070.3711756291
1584,244120.9796353127
1531,154885.85296090622
2210,190894.19009998417
459,304235.92574554915
556,140151.49778812355
1347,151499.88290444715
1290,78290.86575301527
1388,96787.62347948644
1571,172039.62054442265
2754,210531.08501913608
765,127843.25762641057
2494,116212.54599800566
2870,188080.99143916904
7,228390.64042770606
1114,243842.12293219473
2418,286787.4472812414
291,128855.50507243094
18,325198.0973622694
39,324226.00121513754
1001,252916.08564039576
2442,247785.16560392198
616,117201.05521276873
2680,45551.44838703959
1414,111566.25573934498
289,124151.20169138163
40,274154.2587533789
860,127530.58816724992
409,143315.5085567974
673,153124.04588559293
2427,195539.93265046878
2036,207394.5504502377
2564,140696.4887462824
642,208398.49995721504
1008,189692.88220391842
1908,176037.28241906688
2519,208351.76927371486
1369,105999.73416238232
2855,170028.483623822
712,82766.34333049227
1943,97852.11745470599
1958,137493.44232867775
107,175684.36807551328
2295,184617.53316836315
704,95714.91068901564
676,115337.40559923905
259,190912.05170001695
93,279641.64544477616
106,239489.66838030983
2315,187066.62745442032
1050,109258.73269484844
1095,200137.21177162463
2709,147302.76059889887
758,182098.0438408875
1496,169280.83270549518
2370,152054.67164594517
2458,272451.13462653966
2733,120423.40573119977
161,288499.4025569027
726,177449.77147915238
845,215767.554191238
947,259170.40881303512
2232,120687.5552455082
2563,141130.22721549147
2299,144023.87759132427
211,97459.0017841449
605,194053.91939349123
1478,224348.20328207454
2247,268267.16349403467
2274,192501.28657509177
2869,195002.1381447853
967,229589.6292615265
2656,98887.65331642283
667,260055.5086728991
1042,142375.36617761943
2023,165802.38750183862
2447,367024.8941358186
2055,127726.62236475898
2275,277127.1023350009
2204,171535.8847009642
1563,254092.3889687783
483,219199.62328081322
796,129512.2237769831
1526,149383.42200331716
2042,176095.7593374576
442,311031.3335657795
1693,299386.0726510384
1468,216858.86253434932
1430,178991.73295965884
2605,183879.01988731138
1529,186488.81738132122
335,135290.31273376872
1287,146245.0151221105
31,131312.5143224562
1785,262762.57194015454
82,174473.15081494162
2620,112262.59733062354
252,217052.8084569713
721,47416.30756276334
2165,188507.51313372888
2316,177673.54480790603
775,128900.68356992234
1558,94167.77314886055
17,230252.59462971147
1022,232989.14150526468
925,106799.88341543032
438,284226.59381550807
1270,140402.34808549657
1272,116059.46143170842
